competencia;id_cliente;valor_fatura;tipo_cliente;consumo_energia_kwh;status_fatura;data_vencimento
2021-08;pdzvVxt0sTz+bKaCSSKDTA==;12,32;PF;15;atrasada;18/09/2021
2021-07;ZizzQB2y3WeC8WFKlHITYA==;14,78;PF;18;atrasada;22/08/2021
2021-08;bCs+mH77cGboje62bsm9mA==;27,92;PJ;34;paga;22/09/2021
2021-08;8LM+iMxb1QpQ3ZMgsrFguQ==;27,92;PJ;34;paga;22/09/2021
2021-08;M0tjDy+dobkddZ+QXbf5nQ==;27,92;PJ;34;paga;22/09/2021
2021-07;AHNSEt3bgZuUVvvP1G+TJQ==;29,56;PF;36;paga;05/08/2021
2021-07;+BSr3N4YHyx5OwxjK/EEUg==;29,56;PF;36;paga;11/08/2021
2021-07;06BNujsLSeJLF8LCu5LA/g==;29,56;PF;36;atrasada;23/07/2021
2021-07;gjBF5qPOPd3xWAVY7Pzi5g==;30,38;PF;37;paga;06/08/2021
2021-08;gjBF5qPOPd3xWAVY7Pzi5g==;32,02;PF;39;paga;06/09/2021
2021-07;HZb69Y3+u/PH7MfRsBp/kQ==;40,23;PF;49;paga;22/08/2021
2021-07;puE2imxTzK+1SKFw8HvSeA==;43,52;PF;53;atrasada;22/08/2021
2021-07;RGdwwu8pN0zAIkVjNRlAYQ==;43,52;PF;53;paga;27/07/2021
2021-07;HfXuO6yaeRCdRL4oKiWhaw==;43,52;PF;53;paga;18/08/2021
2021-07;d6pLfG5+4f0YMOrv98AUPQ==;43,52;PF;53;paga;11/08/2021
2021-07;M3bTLXsc3KJtbJjBeaGfhA==;43,52;PF;53;paga;11/08/2021
2021-07;b6KQrhMi1sJoM3RSLqPLCw==;43,52;PF;53;paga;11/08/2021
2021-07;/lFJ2pY/W9mnIG0k1OtgOg==;43,52;PF;53;paga;17/08/2021
2021-07;+E8fQGYekj08B6VOJmb65g==;44,34;PF;54;paga;08/08/2021
2021-08;AHNSEt3bgZuUVvvP1G+TJQ==;47,62;PF;58;paga;05/09/2021
2021-07;h8MyyBd2js7V2KMkb+FSYA==;50,09;PF;61;paga;27/07/2021
2021-08;ZizzQB2y3WeC8WFKlHITYA==;53,37;PF;65;atrasada;22/09/2021
2021-08;g+Hzn9pJLWuGPaSYUav4VQ==;53,37;PF;65;paga;10/09/2021
2021-08;82dUvXVazTDgFQWO0S6+hQ==;54,19;PJ;66;paga;22/09/2021
2021-08;jvMPVum7ADO5VY3M4oXJxg==;54,19;PF;66;paga;24/09/2021
2021-07;DTTS7GkxaBYA4YDa4tByFQ==;56,66;PF;69;paga;06/08/2021
2021-07;MoFqTuP2LaS7TtL1TNW1Vw==;56,66;PF;69;paga;27/07/2021
2021-07;QgJoQ7pWq8Jhqymr5gmYGw==;56,66;PF;69;paga;08/08/2021
2021-07;HVltQOhjud5PMHcM/5Qrmw==;56,66;PF;69;paga;27/07/2021
2021-07;lo7dhMYBgeoyK1AastcSPg==;56,66;PF;69;paga;10/08/2021
2021-07;QkMST/pLik6WesQCSJaYfw==;56,66;PF;69;paga;11/08/2021
2021-07;Jxzb78OlaZydIrDOvDQW9A==;56,66;PF;69;paga;11/08/2021
2021-08;AiOnAxoURmJ0O+bhtv23mQ==;57,48;PF;70;atrasada;27/09/2021
2021-08;/YTEmsCL8fPWWCX2SBE+3g==;63,22;PF;77;atrasada;11/09/2021
2021-08;b8+FKOFiizV0CKerZdYlqA==;64,05;PF;78;atrasada;11/09/2021
2021-08;hlAosPv0Ns7f6T+meiofSg==;65,69;PF;80;atrasada;06/09/2021
2021-08;+BSr3N4YHyx5OwxjK/EEUg==;66,51;PF;81;paga;17/09/2021
2021-07;6qVedCTt9cmNiYkd/eF9CQ==;69,79;PF;85;paga;04/08/2021
2021-07;dEdCFYRoQQdIJtc/O3pTUA==;70,61;PF;86;paga;06/08/2021
2021-07;6CDyEKgtCmg/UFE/f1iZkg==;70,61;PF;86;paga;01/08/2021
2021-07;kNw+plZCDVl072huBHAq/Q==;70,61;PF;86;paga;01/08/2021
2021-07;IxS0HYS+RdQVstzQnQjjNg==;70,61;PF;86;paga;04/08/2021
2021-07;+/wBRkQ5NaXnKzihMl4GGw==;70,61;PF;86;paga;09/08/2021
2021-07;hKm4b48Uu4/Wz2h9xG8ILA==;70,61;PF;86;atrasada;17/08/2021
2021-07;x30nHgTZWDSFEC9asleGUg==;70,61;PF;86;paga;04/08/2021
2021-07;6hPumClQCNlUSLzgYGyRyA==;70,61;PF;86;paga;10/08/2021
2021-07;GUzHlfbr0TJ0BIvZhufOfA==;70,61;PF;86;paga;16/08/2021
2021-07;HKDoob8XWYHkgX5f9GoMrw==;70,61;PF;86;paga;22/07/2021
2021-07;mJ/srCit/PlQIzR6jcPXlA==;70,61;PF;86;atrasada;10/08/2021
2021-07;TN7XLk8DZoOaFJo2rCO+dQ==;70,61;PF;86;paga;27/08/2021
2021-07;ZpZFH4nyD62VYk1tprvDaQ==;70,61;PF;86;paga;17/08/2021
2021-07;Sp1CJHNIt0vmnWrxIL4A+Q==;70,61;PF;86;paga;06/08/2021
2021-07;vi8NLEhYjRPhFMDTBcy9mg==;70,61;PF;86;paga;11/08/2021
2021-08;3CTThNJ7ZfZtUGO/4wUrEQ==;70,61;PF;86;paga;03/09/2021
2021-07;1GZjSYwr02ilzEtWvoXYCA==;73,08;PF;89;paga;05/08/2021
2021-07;is7+EcidED1cUGcVIPij0Q==;73,9;PF;90;paga;25/07/2021
2021-08;d9o8rveLw7X/do0yqBHb4w==;73,9;PF;90;paga;17/09/2021
2021-08;puE2imxTzK+1SKFw8HvSeA==;73,9;PF;90;atrasada;22/09/2021
2021-08;ONWuc/pobBnSSI0kUE5CRw==;76,36;PF;93;paga;01/09/2021
